dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total
5994,0.113,-10.491,"Stenson, Henrik",0.012,-0.155,0.158,-0.72,-0.704
16563,0.035,-5.376,"Lee, Chieh-Po",-0.38,0.04,0.118,-0.483,-0.705
15191,0.053,-3.825,"Southgate, Matthew",-0.351,-0.288,0.226,-0.294,-0.707
23416,-0.017,5.925,"Ravetto, David",-0.597,-0.137,0.157,-0.132,-0.71
6950,-0.018,-0.904,"Siem, Marcel",-0.201,-0.048,-0.087,-0.375,-0.711
19898,-0.019,-2.414,"Paul, Yannik",-0.253,-0.08,-0.322,-0.056,-0.712
19948,-0.039,-3.412,"Taylor, Ben",-0.404,0.114,-0.527,0.105,-0.712
5665,-0.024,-1.718,"Cink, Stewart",-0.346,0.075,-0.324,-0.124,-0.719
29971,0.031,-0.073,"Bradbury, Dan",-0.262,-0.315,0.143,-0.289,-0.723
25442,-0.093,-4.778,"Montgomery, Taylor",-0.58,0.175,-0.907,0.588,-0.724
13127,-0.038,3.281,"Tway, Kevin",-0.612,-0.032,-0.173,0.08,-0.738
15680,0.025,-14.968,"Winther, Jeff",-0.283,-0.183,-0.533,0.239,-0.76
15596,-0.021,-6.402,"Cockerill, Aaron",-0.519,-0.047,-0.475,0.276,-0.765
22231,-0.028,0.255,"Von Dellingshausen, Nicolai",-0.406,-0.146,-0.162,-0.061,-0.775
13089,0.023,-7.105,"Nemecz, Lukas",-0.202,-0.06,-0.17,-0.346,-0.779
17081,0.019,-7.058,"Sharma, Shubhankar",-0.17,-0.375,-0.334,0.097,-0.782
13139,-0.062,4.478,"Pulkkanen, Tapio",-0.529,-0.004,-0.259,0.004,-0.788
14209,-0.024,-0.961,"Kozuma, Jinichiro",-0.534,0.016,-0.193,-0.084,-0.794
18514,-0.002,-5.626,"Kinhult, Marcus",-0.435,-0.152,-0.328,0.119,-0.796
13305,-0.03,-0.439,"Chappell, Kevin",-0.277,-0.084,-0.248,-0.187,-0.796
19899,-0.036,2.279,"Rottluff, Max",-0.447,-0.154,-0.137,-0.071,-0.81
21880,-0.046,10.68,"Cone, Trevor",-0.27,-0.303,0.195,-0.432,-0.81
