am,country,dg_id,make_cut,player_name,sample_size,top_10,top_17,top_20,top_23,top_5,win,event_fit_score,rank,course_history_score,bet365_odds,baseline,baseline_history_fit,driving_dist,driving_acc,datagolf_rank,sg_current_form_score,your_model_score,final_score,dg_implied_prob,bet365_implied_prob,your_implied_prob,your_fair_odds,value_delta,expected_value,roi_percent
0,IRL,13900,1.0,Shane Lowry,150,4.67,2.9,2.52,2.24,9.09,46.12,0.435,19.0,2.125,29.0,46.11837048424296,42.73504273504273,0.097,0.04,15,0.01085,0.6758550000000001,0.6758550000000001,0.02168256721595837,0.034482758620689655,0.017094653850293604,58.49782094200315,-0.01738810477039605,-5.042550383414855,-50.42550383414854
0,CAN,17576,1.0,Corey Conners,150,3.65,2.39,2.12,1.91,6.55,29.35,0.493,12.0,2.115,23.0,29.354207436399182,26.869682042095807,0.486,0.073,9,0.035250000000000004,0.7224750000000001,0.7224750000000001,0.034071550255536626,0.043478260869565216,0.021541831450640637,46.42130834099813,-0.02193642941892458,-5.045378766352654,-50.45378766352654
0,AUT,17511,1.0,Sepp Straka,150,5.6,3.35,2.84,2.49,11.32,62.11,0.3005,31.0,2.25,36.0,62.11180124223603,47.09576138147575,-2.968,0.071,17,-0.13775,0.473575,0.473575,0.016100466913540494,0.027777777777777776,0.012250524870155316,81.62915553407808,-0.01552725290762246,-5.589811046744086,-55.898110467440866
0,USA,22085,1.0,Collin Morikawa,150,2.29,1.69,1.56,1.45,3.57,12.16,0.6745,7.0,2.1,11.0,12.1580547112462,10.5318588730911,-0.903,0.107,3,-0.029100000000000004,0.68952,0.68952,0.08223684210526316,0.09090909090909091,0.03547505141657005,28.18882454199657,-0.05543403949252086,-6.097744344177295,-60.97744344177295
0,USA,19895,1.0,Xander Schauffele,150,3.95,2.57,2.26,2.03,7.21,33.71,0.311,30.0,1.5,15.0,33.70786516853929,43.8276113951789,9.061,-0.019,6,0.4502,1.05356,1.05356,0.029664787896766538,0.06666666666666667,0.025407530347326783,39.358410137851656,-0.04125913631933988,-6.188870447900983,-61.888704479009824
0,USA,18417,1.0,Scottie Scheffler,150,1.78,1.42,1.33,1.27,2.51,6.91,1.519,1.0,3.778,4.75,6.905282541143959,7.491571981520807,5.698,0.064,1,0.29450000000000004,1.78305,1.78305,0.1447178002894356,0.21052631578947367,0.07135371755750358,14.01468674977033,-0.1391725982319701,-6.61069841601858,-66.1069841601858
0,USA,14578,1.0,Russell Henley,150,4.12,2.62,2.3,2.06,7.72,37.17,0.629,8.0,2.763,23.0,37.17472118959108,23.677979479084467,-7.723,0.088,8,-0.37295,0.39461499999999994,0.39461499999999994,0.026903416733925208,0.043478260869565216,0.014254195893450654,70.15478161482739,-0.02922406497611456,-6.721534944506349,-67.21534944506348
0,USA,19870,1.0,Denny McCarthy,150,6.01,3.53,3.01,2.62,12.34,64.66,0.1425,49.0,1.538,51.0,64.65517241379297,52.03816131829999,-4.931,0.022,18,-0.24325000000000002,0.11102499999999998,0.11102499999999998,0.01546551190844417,0.0196078431372549,0.006379289790632271,156.75726183006446,-0.01322855334662263,-6.746562206777542,-67.46562206777543
0,ENG,18554,1.0,Aaron Rai,150,4.78,2.94,2.55,2.25,9.19,46.62,0.763,4.0,1.446,41.0,46.62004662004662,36.78724708767632,-8.454,0.114,23,-0.40560000000000007,0.0631199999999999,0.0631199999999999,0.02145002145002145,0.024390243902439025,0.007424025467534334,134.6978137902482,-0.01696621843490469,-6.956149558310923,-69.56149558310922
0,USA,8825,1.0,Brian Harman,150,10.49,5.55,4.55,3.84,24.28,162.6,0.2255,39.0,2.062,67.0,162.60162601626016,100.16694490818062,-7.44,0.055,50,-0.3637500000000001,0.11027499999999987,0.11027499999999987,0.006150061500615006,0.014925373134328358,0.003572903016281051,279.8844512272477,-0.011352470118047308,-7.606154979091696,-76.06154979091696
0,USA,7399,1.0,Lucas Glover,150,9.05,4.81,3.99,3.42,20.67,151.52,0.3965,20.0,1.471,101.0,151.51515151515153,81.0810810810813,-8.616,0.095,33,-0.41655000000000003,-0.05481499999999999,-0.05481499999999999,0.006599788806758183,0.009900990099009901,0.0011210475693402419,892.0228073716081,-0.00877994252966966,-8.867741954966355,-88.67741954966355
0,RSA,18103,1.0,Christiaan Bezuidenhout,150,14.9,7.34,5.8,4.78,37.25,322.58,0.1695,46.0,1.236,176.0,322.5806451612903,188.0877742946732,-9.934,0.016,87,-0.49429999999999996,-0.28273999999999994,-0.28273999999999994,0.0031000062000124,0.005681818181818182,-0.0035002142562342185,-285.69679648007366,-0.0091820324380524,-16.160377090972226,-161.60377090972227
