Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Max Greyserman,15,-,33,7,MC,-,40,4^^,MC,40,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,175/1,Bet 365,Further details
Tyler Duncan,23,64,MC,-,51,-,MC,-,-,-,-,56,-,-,-,-,-,-,-,-,17,60,MC,MC,5800,Further details,175/1,Bet 365,Further details
Troy Merritt,23,MC,MC,-,MC,-,67,MC^^,9,40,-,45,-,MC,-,-,53,MC,32,MC,50,-,-,-,5800,Further details,200/1,Bet 365,Further details
Joel Dahmen,49,11,49,MC,MC,-,67,28^^,62,59,-,56,-,-,-,-,53,-,-,MC,8,-,-,-,5800,Further details,200/1,Bet 365,Further details
Cameron Champ,MC,-,26,45,MC,-,-,MC^^,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,MC,5800,Further details,200/1,Bet 365,Further details
David Skinns,67,MC,75,7,MC,-,-,11^^,48,20,-,MC,-,-,-,-,-,-,-,-,-,-,64,-,5800,Further details,175/1,Bet 365,Further details
Justin Suh,MC,MC,33,MC,-,-,MC,MC^^,MC,50,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5800,Further details,175/1,Bet 365,Further details
Kelly Kraft,MC,-,-,-,-,-,-,11^^,13,MC,-,-,-,-,-,-,-,-,26,MC,50,71,13,MC,5700,Further details,250/1,Bet 365,Further details
Pierceson Coody,32,-,WD,57,74,-,18,MC^^,MC,54,-,5,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,250/1,Bet 365,Further details
Robby Shelton IV,-,MC,33,MC,33,-,-,MC^^,MC,26,-,9,-,-,-,-,-,-,-,67,-,-,-,MC,5700,Further details,200/1,Bet 365,Further details
Matthew NeSmith,-,26,MC,MC,MC,-,43,MC^^,MC,54,-,24,-,-,-,-,-,-,-,-,-,-,-,-,5700,Further details,300/1,Bet 365,Further details
