,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
Patrick Reed,25,71.06,MC,13,MC,2,1,4,28,MC,36,MC,32,10,13,13,10,8,17,19,MC,35,34,49,47,4,18,7500,70/1,Bet 365,56
Tommy Fleetwood,25,71.15,MC,4,27,61,17,2,12,35,36,48,65,2,29,MC,19,46,MC,50,33,14,5,MC,4,33,18,7900,40/1,Bet 365,5
Kevin Streelman,8,71.18,-,-,-,-,-,-,-,MC,-,-,-,57,58,MC,-,-,8,15,19,-,41,-,-,-,-,6900,500/1,Bet 365,49
Patrick Cantlay,22,71.31,-,-,-,33,MC,45,12,27,9,3,21,41,43,43,17,MC,23,15,MC,39,MC,14,8,14,9,10300,16/1,Bet 365,14
Denny McCarthy,5,71.35,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-,-,59,-,-,-,48,7,-,-,29,7200,110/1,Bet 365,20
Chris Kirk,8,71.38,-,-,-,MC,-,-,-,31,-,-,-,-,-,-,-,-,MC,-,MC,-,5,-,42,23,29,7100,150/1,Bet 365,MC
Shane Lowry,24,71.42,MC,46,MC,48,-,MC,MC,12,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,16,12,8500,50/1,Bet 365,20
Matt Kuchar,21,71.45,4,16,2,9,28,MC,9,MC,12,8,16,41,MC,MC,MC,MC,MC,MC,MC,-,34,-,-,-,MC,6900,150/1,Bet 365,MC
Francesco Molinari,22,71.50,33,MC,MC,2,20,25,1,6,5,48,16,11,-,-,MC,52,-,13,MC,MC,55,MC,15,MC,MC,6800,350/1,Bet 365,MC
Matthew Fitzpatrick,25,71.52,32,35,44,MC,38,12,MC,MC,21,41,12,20,MC,MC,46,34,23,55,26,14,5,1,21,10,MC,9100,28/1,Bet 365,17
Cameron Smith,23,71.52,-,-,MC,MC,5,MC,78,56,51,64,72,20,43,38,2,10,59,MC,33,3,13,MC,1,34,9,9000,28/1,Bet 365,4
Charley Hoffman,14,71.54,22,8,20,48,12,20,17,MC,29,54,-,51,-,-,-,-,17,57,MC,-,-,-,-,-,-,6800,600/1,Bet 365,49
MinWoo Lee,7,71.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,MC,27,21,MC,18,7000,80/1,Bet 365,5
Cameron Young,8,71.59,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,3,MC,2,7,MC,8000,45/1,Bet 365,32
Thriston Lawrence,2,71.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,62,6600,1000/1,Bet 365,MC
Adam Scott,25,71.66,9,MC,22,61,32,MC,17,3,18,8,7,MC,22,38,34,54,MC,35,46,48,MC,14,15,39,29,7500,70/1,Bet 365,MC
Aaron Wise,11,71.68,-,-,-,-,-,MC,-,MC,17,41,35,41,-,-,-,-,17,-,-,-,23,27,34,-,MC,7100,350/1,Bet 365,MC
Hayden Buckley,3,71.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,14,-,-,26,6900,350/1,Bet 365,MC
Jason Day,21,71.70,22,MC,27,9,20,MC,17,19,5,23,21,MC,4,38,MC,MC,44,-,MC,-,55,-,-,39,MC,8100,45/1,Bet 365,MC
Bryson DeChambeau,23,71.71,-,MC,MC,33,38,25,51,MC,29,MC,35,MC,4,1,34,46,38,26,33,MC,-,56,8,MC,4,7600,40/1,Bet 365,20
Corey Conners,17,71.83,-,MC,-,-,-,-,-,-,46,64,-,MC,MC,MC,10,8,17,MC,15,6,MC,MC,28,MC,12,7800,66/1,Bet 365,MC
Russell Henley,18,71.83,11,27,37,71,15,25,MC,50,-,-,-,-,37,-,-,-,71,13,MC,30,60,MC,62,4,MC,7100,110/1,Bet 365,14
Eric Cole,2,71.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,15,7000,200/1,Bet 365,39
Brian Harman,21,71.87,-,2,MC,13,44,36,MC,71,-,MC,-,MC,58,38,-,12,MC,19,19,MC,34,43,6,MC,MC,6900,250/1,Bet 365,43
Jordan L Smith,6,71.88,-,-,-,9,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,47,-,MC,6900,225/1,Bet 365,20
Stewart Cink,14,71.89,-,46,MC,-,-,-,24,4,MC,-,-,20,-,-,-,12,30,57,MC,MC,23,MC,MC,-,-,6500,600/1,Bet 365,MC
Andrew Putnam,9,71.89,-,-,-,-,-,-,-,59,-,78,43,32,MC,WD,MC,-,-,-,-,-,-,31,-,-,MC,6800,200/1,Bet 365,43
Guillermo Mito Pereira,6,71.89,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,3,MC,MC,43,18,7200,80/1,Bet 365,MC
Abraham Ancer,16,71.91,-,-,-,-,-,-,MC,-,-,16,49,MC,43,56,13,26,8,MC,59,MC,9,-,11,39,MC,7400,300/1,Bet 365,54
Joel Dahmen,10,71.94,-,-,-,-,-,-,-,-,-,71,MC,MC,10,MC,-,-,55,-,46,-,MC,10,-,-,69,6800,500/1,Bet 365,MC
Sahith Theegala,5,71.94,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,34,9,40,7600,75/1,Bet 365,27
Gary Woodland,25,71.96,MC,50,70,22,MC,36,67,6,32,8,1,MC,58,MC,MC,40,38,50,MC,MC,34,10,MC,14,MC,7200,125/1,Bet 365,49
Dylan Wu,1,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,6400,600/1,Bet 365,32
Nick Hardy,3,72.00,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,14,-,-,MC,6700,600/1,Bet 365,20
Sam Bennett,2,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,16,-,6500,1000/1,Bet 365,43
Victor Perez,10,72.00,-,-,-,-,-,-,-,-,-,-,-,-,22,MC,46,MC,MC,MC,MC,-,-,MC,34,-,12,7300,200/1,Bet 365,MC
Ryan Fox,15,72.04,-,-,MC,54,-,41,39,27,-,MC,MC,16,-,MC,-,-,-,-,67,-,54,MC,MC,26,23,7100,150/1,Bet 365,43
Harris English,12,72.11,-,46,-,-,-,-,-,-,-,-,58,-,19,4,-,21,64,3,46,-,-,61,MC,43,MC,7200,150/1,Bet 365,8
Keegan Bradley,18,72.12,-,60,-,33,-,MC,79,42,43,29,MC,MC,MC,MC,-,-,17,-,MC,-,48,7,MC,23,29,7600,100/1,Bet 365,MC
