Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Robby Shelton IV,60,-,60,MC,-,MC,33,MC,33,-,-,MC^^,-,-,-,-,-,-,MC,-,-,-,-,43,6300,Further details,300/1,Bet 365,Further details
Harrison Endycott,42,-,MC,-,42,-,MC,64,MC,-,33,MC^^,-,-,-,-,-,-,-,-,-,-,-,50,6300,Further details,300/1,Bet 365,Further details
Camilo Villegas,MC,-,-,67,MC,MC,WD,-,MC,35,-,-,-,-,48,-,-,-,-,-,-,-,-,-,6300,Further details,300/1,Bet 365,Further details
Rafael Campos,35^,-,38,-,18,-,MC,MC,MC,-,14,38^^,-,-,-,-,-,-,-,-,-,MC,-,-,6300,Further details,300/1,Bet 365,Further details
Callum Tarren,MC,-,MC,MC,-,MC,72,69,MC,-,23,11^^,-,-,-,-,-,-,-,-,-,-,46,-,6300,Further details,250/1,Bet 365,Further details
Adrien Dumont de Chassart,60,-,MC,MC,6,-,MC,81,MC,-,23,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,350/1,Bet 365,Further details
Wilson Furr,-,-,38,-,MC,-,MC,36,MC,-,55,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,350/1,Bet 365,Further details
Ben Kohles,MC,-,WD,MC,3,MC,MC,-,78,-,MC,28^^,-,-,MC,-,-,-,-,-,-,-,MC,-,6300,Further details,400/1,Bet 365,Further details
James Hahn,-,-,33,-,MC,-,-,72,-,-,63,-,-,-,-,5,55,46,3,MC,-,MC,9,50,6200,Further details,500/1,Bet 365,Further details
Ryan Brehm,MC,-,MC,MC,55,-,72,53,MC,-,MC,3^^,-,-,-,-,-,-,61,-,-,MC,MC,64,6200,Further details,300/1,Bet 365,Further details
Kelly Kraft,-,-,-,-,MC,-,-,-,-,-,-,11^^,-,MC,-,-,MC,49,MC,MC,MC,MC,MC,79,6200,Further details,500/1,Bet 365,Further details
Roger Sloan,-,-,MC,-,55,-,49,45,MC,-,MC,MC^^,-,-,-,-,MC,-,-,-,79,34,MC,79,6200,Further details,500/1,Bet 365,Further details
Trace Crowe,-,-,60,-,MC,-,MC,MC,WD,-,11,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,350/1,Bet 365,Further details
Bronson Burgoon,-,-,MC,-,-,-,75,MC,58,-,-,MC^^,-,-,-,-,-,24,-,16,-,13,-,-,6200,Further details,350/1,Bet 365,Further details
Paul Barjon,-,-,MC,MC,MC,-,MC,MC,MC,-,MC,4^^,-,-,-,-,-,-,-,-,-,-,65,-,6200,Further details,350/1,Bet 365,Further details
Pierceson Coody,-,-,WD,MC,32,-,WD,57,74,-,18,MC^^,-,-,-,-,-,-,-,-,-,MC,-,MC,6200,Further details,300/1,Bet 365,Further details
Tyson Alexander,53,-,MC,16,-,MC,MC,64,14,-,55,MC^^,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,300/1,Bet 365,Further details
Jimmy Walker,-,-,-,-,-,-,-,MC,MC,-,50,-,-,29,27,37,2,24,-,6,MC,MC,-,74,6100,Further details,600/1,Bet 365,Further details
Tom Whitney,-,-,MC,MC,61,-,33,MC,75,-,63,MC^^,-,-,-,-,-,-,-,MC,-,-,-,-,6100,Further details,400/1,Bet 365,Further details
Kevin Kisner,-,-,-,MC,MC,-,MC,MC,72,-,68,MC^^,-,36,-,16,-,-,-,-,-,-,MC,-,6100,Further details,1000/1,Bet 365,Further details
Nicholas Lindheim,-,-,-,MC,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,66,32,12,-,-,-,6100,Further details,350/1,Bet 365,Further details
Norman Xiong,-,-,MC,MC,9,-,54,MC,MC,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Hayden Buckley,28,-,-,MC,-,MC,61,MC,MC,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,MC,-,6100,Further details,400/1,Bet 365,Further details
Josh Teater,-,-,MC,-,61,-,MC,MC,58,-,MC,MC^^,-,MC,-,68,MC,-,-,-,MC,MC,-,-,6100,Further details,600/1,Bet 365,Further details
Ryan McCormick,-,-,38,-,58,-,MC,MC,82,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,600/1,Bet 365,Further details
Austin Cook,-,-,-,-,10,-,MC,53,37^,-,MC,MC^^,-,-,-,-,MC,-,-,-,MC,71,MC,MC,6100,Further details,600/1,Bet 365,Further details
Kevin Chappell,49,-,MC,-,23,-,-,MC,33,-,MC,MC^^,-,MC,-,-,-,-,-,-,-,MC,-,MC,6100,Further details,600/1,Bet 365,Further details
Sunghoon Kang,42,-,-,MC^,MC,-,MC,MC,MC^,-,MC,-,-,MC,-,-,-,34,20,42,1,47,MC,14,6000,Further details,750/1,Bet 365,Further details
Scott Gutschewski,-,-,MC,-,MC,-,MC,69,MC,-,66,MC^^,-,-,-,-,-,-,-,-,-,-,MC,-,6000,Further details,1000/1,Bet 365,Further details
