Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Raul Pereda,MC,MC^^,MC,MC,-,MC^,MC,60^,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6000,Further details,2000/1,Bet 365,Further details
Ricardo Gouveia,-,MC,23,-,-,WD,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,8,-,6000,Further details,450/1,Bet 365,Further details
Stephen Gallacher,-,MC,MC,-,-,75,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Nick Watney,MC,11^^,MC,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,37,-,MC,6000,Further details,2500/1,Bet 365,Further details
David Bradshaw,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,TBC,Bet 365,Further details
Matthew Sharpstene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6000,Further details,TBC,Bet 365,Further details
Jannik De Bruyn,MC^,MC^,-,23^,-,MC,18,-,3^,60,3,27,-,-,-,-,-,-,-,-,-,-,Further details,90/1,Bet 365,Further details
Frederik Schott,-,MC,11,-,-,MC,MC,-,-,MC,MC,57,-,-,-,-,-,-,-,-,MC,-,Further details,400/1,Bet 365,Further details
Ryan Armour,67,-,-,-,-,-,-,29^,-,-,MC^,-,-,58,20,27,-,53,5,-,16,-,Further details,TBC,Bet 365,Further details
Brian Stuard,MC,-,-,-,80^,MC^,MC^,-,-,-,-,-,-,MC,-,MC,21,MC,15,MC,33,-,Further details,TBC,Bet 365,Further details
Jimmy Walker,50,-,MC,-,MC,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
David Hearn,-,-,-,-,-,-,69,-,-,-,-,-,-,-,20,27,MC,45,20,68,MC,-,Further details,TBC,Bet 365,Further details
Kyle Stanley,MC,-,-,-,MC^,WD^,MC^,25^,MC^,MC^,MC^,-,-,23,54,-,-,-,-,-,MC,-,Further details,TBC,Bet 365,Further details
Paul Haley II,MC,MC^^,-,-,-,-,MC^,MC^,77^,MC^,MC^,-,-,-,-,-,-,-,-,-,MC,-,Further details,TBC,Bet 365,Further details
Robert Streb,59,MC^^,-,-,53^,-,MC^,60^,10^,MC^,39^,-,-,-,-,-,10,MC,-,-,MC,-,Further details,TBC,Bet 365,Further details
Sangmoon Bae,MC,MC^^,-,-,-,-,-,2^,-,10^,-,-,-,-,-,-,-,-,WD,MC,MC,-,Further details,TBC,Bet 365,Further details
Santiago Tarrio Ben,-,MC,17,-,-,34,64,20,-,MC,MC,MC,-,-,-,-,-,-,-,60,MC,-,Further details,TBC,Bet 365,Further details
Sebastian Garcia Rodriguez,-,-,-,-,-,7,WD,-,-,29,MC,MC,-,-,-,-,-,-,-,68,MC,-,Further details,400/1,Bet 365,Further details
