Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Willie Mack III,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,71,-,-,5000,Further details,1500/1,Bet 365,Further details
Benjamin Taylor,MC,-,-,37^^,MC,MC,-,MC,MC,-,-,-,-,-,MC,MC,-,MC,5000,Further details,2500/1,Bet 365,Further details
Brandt Snedeker,72,-,-,40^^,48,MC,-,MC,MC,MC,-,-,-,5,MC,38,-,MC,5000,Further details,1000/1,Bet 365,Further details
Kyle Martin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5000,Further details,4000/1,Bet 365,Further details
Ryan Palmer,MC,-,55,19^^,MC,-,-,MC,35,-,-,-,-,-,-,-,MC,33,-,Further details,TBC,Bet 365,Further details
Nick Watney,-,-,MC,11^^,MC,MC,-,-,-,-,-,-,-,46,-,MC,30,56,-,Further details,TBC,Bet 365,Further details
Seung-yul Noh,MC^,-,14^,-,59,32,36^,MC^,-,MC^,17^,31^,-,-,57,-,MC,70,-,Further details,TBC,Bet 365,Further details
Bill Haas,-,-,18,-,MC,MC,-,-,-,6^,MC^,-,-,-,MC,-,MC,-,-,Further details,TBC,Bet 365,Further details
Kevin Chappell,33,-,MC,MC^^,30,MC,-,-,MC,MC^,-,-,-,-,62,-,MC,-,-,Further details,TBC,Bet 365,Further details
Scott Piercy,32^,-,59,28^^,52,26,-,-,-,36^,MC^,-,-,-,-,MC,MC,-,-,Further details,TBC,Bet 365,Further details
Austin Cook,37^,-,MC,MC^^,20,MC,-,-,MC,MC^,-,-,-,MC,39,MC,57,MC,-,Further details,TBC,Bet 365,Further details
Sean O'Hair,MC^,-,18,37^^,-,61,-,-,27,MC^,-,-,-,-,-,32,MC,MC,-,Further details,TBC,Bet 365,Further details
Austin Smotherman,9^,-,50,23^^,MC,70,70^,65,-,MC^,54^,MC^,-,-,-,-,69,MC,-,Further details,TBC,Bet 365,Further details
Richy Werenski,MC^,-,59,-,MC,MC,-,MC^,29^,20^,MC^,MC^,-,MC,21,25,30,MC,-,Further details,TBC,Bet 365,Further details
