,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Talor Gooch,9,71.94,-,66,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,44,-,33,14,20,MC,34,34,7600,75/1,Bet 365,Further details,MC
Seamus Power,5,71.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,9,12,MC,46,7000,200/1,Bet 365,Further details,MC
Matt Wallace,15,71.96,-,MC,-,-,-,MC,MC,19,MC,3,12,51,77,43,46,34,55,MC,40,-,-,-,-,-,6600,400/1,Bet 365,Further details,65
Corey Conners,16,71.98,-,MC,-,-,-,-,-,-,46,64,-,MC,MC,MC,10,8,17,MC,15,6,MC,MC,28,MC,7900,100/1,Bet 365,Further details,12
Davis Riley,3,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,13,31,-,-,7100,350/1,Bet 365,Further details,MC
Harris English,11,72.00,-,46,-,-,-,-,-,-,-,-,58,-,19,4,-,21,64,3,46,-,-,61,MC,43,7200,200/1,Bet 365,Further details,MC
J.J Spaun,5,72.06,-,-,-,-,-,-,-,35,-,54,-,-,-,-,-,-,-,MC,-,23,MC,-,-,-,7000,250/1,Bet 365,Further details,MC
Tom Kim,5,72.06,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,23,47,16,8000,80/1,Bet 365,Further details,MC
Sungjae Im,14,72.07,-,-,-,-,-,MC,-,42,-,MC,-,MC,MC,22,2,MC,17,35,-,8,-,MC,81,16,9000,33/1,Bet 365,Further details,MC
Kevin Kisner,24,72.08,43,58,54,7,28,MC,2,12,21,MC,49,30,19,MC,MC,MC,MC,55,73,44,MC,MC,21,MC,6500,750/1,Bet 365,Further details,MC
Nick Taylor,4,72.08,-,-,-,-,-,-,-,-,-,-,43,-,MC,-,29,-,-,-,-,-,-,MC,-,-,6500,300/1,Bet 365,Further details,MC
Sahith Theegala,4,72.08,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,34,9,8100,80/1,Bet 365,Further details,40
Adrian Otaegui,4,72.10,-,-,-,-,-,-,-,65,-,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,6400,600/1,Bet 365,Further details,MC
Dean Burmester,6,72.10,-,-,-,-,-,56,-,-,-,-,MC,-,-,-,-,-,59,-,40,-,MC,-,11,-,6900,225/1,Bet 365,Further details,54
Ryan Fox,14,72.16,-,-,MC,54,-,41,39,27,-,MC,MC,16,-,MC,-,-,-,-,67,-,54,MC,MC,26,6500,250/1,Bet 365,Further details,23
