player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc
Kieran Vincent,-0.287,0.486,-0.484,-0.217,-0.072,13.587,-0.033
Adam Schenk,-0.295,0.072,-0.194,-0.115,-0.058,5.8,-0.028
Kris Ventura,-0.298,0.158,-0.239,-0.268,0.051,6.747,-0.018
Alex Fitzpatrick,-0.299,-0.13,-0.203,0.075,-0.041,5.422,-0.052
Webb Simpson,-0.3,-0.338,-0.123,0.317,-0.156,-1.843,-0.008
Justin Suh,-0.301,-0.206,-0.28,-0.062,0.248,-2.306,-0.005
Ben Silverman,-0.301,-0.054,-0.316,0.021,0.048,-5.52,0.026
Romain Langasque,-0.304,-0.326,-0.233,0.061,0.194,-3.985,-0.004
John Catlin,-0.305,0.302,-0.122,-0.054,-0.431,-5.911,0.074
Guido Migliozzi,-0.306,-0.07,-0.301,0.078,-0.013,-0.929,-0.009
Davis Riley,-0.308,-0.307,-0.276,0.048,0.228,5.413,-0.055
Luke List,-0.309,0.306,-0.351,-0.081,-0.183,7.09,-0.012
Matteo Manassero,-0.311,-0.783,0.019,0.257,0.196,-13.266,-0.012
Brendan Steele,-0.313,0.203,0.047,-0.106,-0.457,5.098,0.016
Alejandro Del Rey,-0.326,0.023,-0.324,-0.192,0.167,14.944,-0.099
Hennie Du Plessis,-0.342,0.211,0.029,-0.222,-0.36,8.224,-0.014
Calum Hill,-0.343,-0.01,-0.437,0.017,0.088,5.679,-0.028
Charles Howell III,-0.363,-0.013,-0.193,0.153,-0.31,-0.147,-0.004
Wesley Bryan,-0.365,-0.282,-0.109,0.076,-0.05,0.596,-0.066
Tyler Duncan,-0.367,0.223,-0.357,-0.123,-0.11,-4.304,0.058
Dylan Wu,-0.38,-0.184,-0.158,-0.033,-0.005,-2.631,-0.003
Marco Penge,-0.387,0.442,-0.59,-0.335,0.095,18.359,-0.056
Branden Grace,-0.391,-0.022,0.17,0.01,-0.55,-7.835,0.034
Scott Stallings,-0.396,-0.25,0.005,0.076,-0.227,1.083,-0.036
Yubin Jang,-0.4,0.249,0.312,-0.401,-0.56,9.147,-0.038
Robby Shelton,-0.404,-0.467,-0.217,0.207,0.072,-5.605,-0.022
Neal Shipley,-0.406,0.072,-0.12,-0.14,-0.218,5.516,-0.009
Thriston Lawrence,-0.419,-0.01,-0.311,-0.06,-0.038,-1.497,0.005
S.Y. Noh,-0.429,-0.495,-0.18,0.116,0.13,-3.785,-0.036
Caleb Surratt,-0.434,0.031,-0.209,-0.303,0.046,8.84,-0.048
K.H. Lee,-0.436,-0.044,-0.244,0.027,-0.175,-1.448,0.006
Nick Hardy,-0.45,0.068,0.03,-0.24,-0.308,5.251,-0.024
Richie Ramsay,-0.454,-0.181,-0.168,0.03,-0.135,-12.905,0.064
Yuto Katsuragawa,-0.458,-0.106,-0.133,-0.061,-0.157,-7.891,0.042
Nathan Kimsey,-0.459,0.032,-0.422,-0.106,0.038,-6.236,0.059
Dylan Frittelli,-0.46,-0.076,-0.122,0.083,-0.344,4.686,-0.051
Andrew Johnston,-0.46,0.105,-0.287,-0.164,-0.114,-0.552,0.026
Adrian Otaegui,-0.478,-0.179,0.03,0.028,-0.357,-15.822,0.108
Ben Martin,-0.479,-0.133,0.016,-0.188,-0.175,-6.326,0.021
Patton Kizzire,-0.481,-0.228,-0.128,0.091,-0.217,-3.38,0.003
