Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Sam Bairstow,3,13,-,-,-,36,23,-,-,10,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,Further details,600/1,Bet 365,Further details
Zac Blair,MC,MC,MC,-,-,4^^,MC,-,53,MC,24,-,-,-,40,-,-,-,-,MC,-,-,-,-,5500,Further details,1000/1,Bet 365,Further details
Benjamin James,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,750/1,Bet 365,Further details
Frankie Capan,-,-,9^,-,8^,-,-,-,MC^,2^,56^,-,-,-,-,-,-,-,-,-,-,-,-,MC,5400,Further details,750/1,Bet 365,Further details
Gordon Sargent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,5400,Further details,500/1,Bet 365,Further details
Jason Scrivener,29,-,-,-,-,MC,23,-,-,48,MC,MC,-,-,-,-,-,-,MC,-,-,-,-,-,5400,Further details,1000/1,Bet 365,Further details
Rico Hoey,54,MC,14,-,33,MC^^,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,1250/1,Bet 365,Further details
Robert Rock,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,2000/1,Bet 365,Further details
Santiago De la Fuente,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,1500/1,Bet 365,Further details
Brandon Robinson Thompson,MC^,-,-,-,13^,46^,-,42^,-,48^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,1500/1,Bet 365,Further details
Brian Campbell,-,-,44^,-,48^,-,-,-,46^,14^,MC^,25^,-,-,MC,27,-,-,-,-,-,-,-,-,5300,Further details,1250/1,Bet 365,Further details
Edoardo Molinari,56,58,-,-,-,MC,50,-,-,41,MC,-,-,-,-,-,-,-,-,-,-,35,-,-,5300,Further details,1500/1,Bet 365,Further details
Neal Shipley,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,1500/1,Bet 365,Further details
Riki Kawamoto,-,MC^,-,-,-,MC,12^,38^,MC^,18^,-,38^,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,2500/1,Bet 365,Further details
Sunghoon Kang,MC,MC,MC^,-,MC,-,41,-,MC^,MC^,-,-,-,-,-,-,18,-,-,-,MC,MC,-,-,5300,Further details,4000/1,Bet 365,Further details
Taisei Shimizu,-,4^,-,-,-,36,MC^,6^,3^,6^,-,8^,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,1000/1,Bet 365,Further details
Carter Jenkins,-,-,MC^,-,48^,-,-,-,36^,MC^,4^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,2000/1,Bet 365,Further details
Chris Petefish,-,-,48^,-,20^,-,-,-,MC^,MC^,MC^,WD^,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,2500/1,Bet 365,Further details
Frederik Kjettrup,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,1500/1,Bet 365,Further details
Isaiah Salinda,-,-,44^,-,8^,-,-,-,MC^,48^,-,12^,-,-,-,-,-,-,-,-,-,-,MC,-,5200,Further details,1250/1,Bet 365,Further details
