Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Tyson Alexander,52,MC,-,MC,MC,-,-,-,MC,MC,MC,MC,-,-,-,-,-,20,6300,Further details,750/1,Bet 365,Further details
Vincent Norrman,MC,-,MC,70,65,43,-,-,MC,-,WD,MC,-,-,-,-,-,50,6300,Further details,300/1,Bet 365,Further details
Kevin Chappell,30,MC,-,-,MC,MC^,-,-,-,61,25,17,-,-,-,-,69,64,6300,Further details,400/1,Bet 365,Further details
Parker Coody,MC,36,-,61,MC,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,6300,Further details,350/1,Bet 365,Further details
Roger Sloan,MC,40,-,-,MC,-,-,-,31,61,53,MC,-,15,MC,16,38,-,6300,Further details,300/1,Bet 365,Further details
Trace Crowe,MC,32,-,22^,27,42^,-,-,MC,44,MC,MC,-,-,-,-,-,-,6300,Further details,350/1,Bet 365,Further details
Austin Smotherman,MC,70,70^,65,-,MC^,54^,MC^,MC^,61,21,-,-,-,-,-,24,MC,6300,Further details,300/1,Bet 365,Further details
Scott Piercy,52,26,-,-,-,36^,MC^,-,66^,MC,MC,61,-,15,MC,71,4,WD,6300,Further details,300/1,Bet 365,Further details
Dylan Frittelli,67,-,-,MC,20,29,-,MC,33,52,MC,MC,-,46,18,MC,MC,MC,6300,Further details,350/1,Bet 365,Further details
Brandt Snedeker,48,MC,-,MC,MC,MC,-,-,MC,MC,53,MC,-,-,-,11,-,53,6200,Further details,750/1,Bet 365,Further details
James Hahn,MC,MC,-,-,-,-,-,-,-,52,64,-,-,-,-,MC,4,62,6200,Further details,300/1,Bet 365,Further details
Ben Warian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,500/1,Bet 365,Further details
Nicholas Lindheim,MC,MC,-,-,-,-,-,-,31,MC,-,-,-,WD,-,-,-,-,6200,Further details,400/1,Bet 365,Further details
Tobias Jonsson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,350/1,Bet 365,Further details
Ryan McCormick,41,4,MC^,-,MC,51^,-,-,31,MC,31,MC,-,-,-,-,-,-,6200,Further details,400/1,Bet 365,Further details
Wilson Furr,MC,MC,-,-,MC,-,31^,-,MC,72,MC,MC,-,-,-,-,-,-,6200,Further details,450/1,Bet 365,Further details
William Gordon,-,-,-,-,-,MC^,-,MC^,-,MC,MC,49,-,-,MC,MC,-,MC,6200,Further details,450/1,Bet 365,Further details
Kelly Kraft,13,MC,-,-,42,-,-,-,MC,MC,MC,MC,-,MC,-,-,11,WD,6200,Further details,400/1,Bet 365,Further details
Cody Gribble,MC,MC,-,-,-,-,-,-,-,MC,21,-,-,MC,-,-,MC,MC,6200,Further details,300/1,Bet 365,Further details
