,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,2023 DraftKings,2023 Odds,Bookmaker,2023 Result
MinWoo Lee,8,71.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,MC,27,21,MC,18,5,7700,60/1,Bet 365,41
Denny McCarthy,6,71.17,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-,-,59,-,-,-,48,7,-,-,29,20,7300,125/1,Bet 365,MC
Justin Thomas,25,71.17,22,9,MC,1,17,25,MC,6,12,-,MC,11,37,8,4,21,MC,19,40,8,1,37,53,MC,65,MC,8600,60/1,Bet 365,MC
Louis Oosthuizen,23,71.21,41,23,MC,2,12,16,28,-,29,60,7,20,33,3,23,26,2,2,3,WD,60,MC,MC,WD,-,-,6900,110/1,Bet 365,23
Patrick Cantlay,23,71.23,-,-,-,33,MC,45,12,27,9,3,21,41,43,43,17,MC,23,15,MC,39,MC,14,8,14,9,14,9900,22/1,Bet 365,33
Shane Lowry,25,71.36,MC,46,MC,48,-,MC,MC,12,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,16,12,20,9100,28/1,Bet 365,MC
Cameron Smith,24,71.38,-,-,MC,MC,5,MC,78,56,51,64,72,20,43,38,2,10,59,MC,33,3,13,MC,1,34,9,4,10700,16/1,Bet 365,33
Chris Kirk,9,71.43,-,-,-,MC,-,-,-,31,-,-,-,-,-,-,-,-,MC,-,MC,-,5,-,42,23,29,MC,7000,200/1,Bet 365,MC
Matthew Fitzpatrick,26,71.45,32,35,44,MC,38,12,MC,MC,21,41,12,20,MC,MC,46,34,23,55,26,14,5,1,21,10,MC,17,9500,40/1,Bet 365,41
Cameron Young,9,71.46,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,3,MC,2,7,MC,32,9000,55/1,Bet 365,8
Laurie Canter,3,71.50,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,79,-,-,-,6100,500/1,Bet 365,17
