Player,Masters,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Benjamin Taylor,-,-,4,MC,MC,MC,-,58,5,53,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,150/1,Bet 365,Further details,MC
Pierceson Coody,-,-,-,MC^,MC^,1^,MC^,-,63,14,-,MC,MC^,-,-,-,-,-,-,-,-,-,-,-,-,6900,150/1,Bet 365,Further details,53
Dylan Frittelli,-,-,-,MC,37,WD,14,MC,29,-,MC,MC,-,-,-,-,-,-,-,-,-,20,42,-,8,6800,160/1,Bet 365,Further details,MC
Martin Laird,-,-,-,62,MC,-,MC,MC,-,39,MC,MC,-,-,9,-,1,MC,50,-,18,11,36,30,29,6800,150/1,Bet 365,Further details,MC
Chesson Hadley,-,-,MC,MC,-,MC,23,MC,29,-,44,MC,MC,-,-,-,-,56,4,MC,-,20,MC,23,53,6800,160/1,Bet 365,Further details,60
Scott Piercy,-,-,MC,41,31,MC,WD,50,-,21,MC,-,29,-,-,18,-,-,40,-,MC,MC,-,-,-,6800,150/1,Bet 365,Further details,MC
Stewart Cink,-,-,20,41,-,-,65,MC,-,MC,MC,MC,-,-,59,-,-,-,-,-,22,MC,-,-,-,6800,200/1,Bet 365,Further details,MC
Doug Ghim,-,-,-,MC,MC,WD,MC,62,-,-,MC,27,16,-,-,-,-,-,-,-,-,-,-,44,MC,6800,125/1,Bet 365,Further details,MC
Matthew NeSmith,-,-,-,MC,MC,55,MC,MC,-,39,MC,-,-,-,-,-,-,-,-,-,-,-,-,34,MC,6800,140/1,Bet 365,Further details,MC
Troy Merritt,-,-,65,MC,-,MC,MC,MC,-,MC,MC,MC,-,-,-,-,-,46,71,MC,49,36,-,34,4,6700,200/1,Bet 365,Further details,MC
Kevin Chappell,-,-,-,MC,-,MC,-,-,29,15,-,-,16,-,2,WD,15,MC,66,4,1,30,-,MC,18,6700,225/1,Bet 365,Further details,39
Chad Ramey,-,38,54,-,-,70,MC,MC,MC,-,27,27,WD,-,-,-,-,-,-,-,-,-,-,-,41,6700,200/1,Bet 365,Further details,MC
Henrik Norlander,-,-,-,-,MC,MC,-,-,MC,15,-,45,22,-,-,-,53,-,-,MC,-,-,-,MC,53,6700,225/1,Bet 365,Further details,60
Vincent Norrman,-,-,MC,54,44,MC,-,-,63,21,-,MC,16,-,-,-,-,-,-,-,-,-,-,-,-,6700,140/1,Bet 365,Further details,MC
Augusto Nunez,-,-,41,MC,31,48,-,-,71,15,-,MC,26,-,-,-,-,-,-,-,-,-,-,-,-,6700,160/1,Bet 365,Further details,37
Andrew Novak,-,-,12,MC,69,20,-,-,29,44,MC,27,46,-,-,-,-,-,-,-,-,-,-,-,MC,6700,175/1,Bet 365,Further details,9
Cameron Champ,✅,-,-,-,53,35^,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,73,-,34,MC,6700,175/1,Bet 365,Further details,MC
Matthias Schwab,-,-,MC,26,-,MC,MC,50,60,-,54,MC,8,-,-,-,-,-,-,-,-,-,-,-,8,6600,150/1,Bet 365,Further details,MC
Greyson Sigg,-,-,48,MC,-,55,57,MC,MC,61,MC,57,-,-,-,-,-,-,-,-,-,-,-,59,41,6600,175/1,Bet 365,Further details,MC
Peter Malnati,-,-,MC,MC,20,4,MC,20,MC,MC,MC,MC,-,-,-,-,-,MC,-,13,MC,64,23,MC,41,6600,200/1,Bet 365,Further details,22
Callum Tarren,-,-,-,MC,25,65,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,175/1,Bet 365,Further details,MC
Carl Yuan,-,-,20,MC,MC,MC,-,-,MC,MC,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,MC
Ryan Armour,-,-,MC,65,MC,58,-,-,63,61,MC,45,-,-,-,-,-,-,-,-,MC,MC,57,MC,-,6600,200/1,Bet 365,Further details,MC
Ryan Gerard,-,-,-,MC^,MC^,41^,3^,-,4,11,-,71,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,TBC,Bet 365,Further details,56
Harry Higgs,-,-,MC,18,44,48,-,-,MC,7,-,MC,38,-,-,-,-,-,-,-,-,-,-,MC,MC,6600,200/1,Bet 365,Further details,28
Russell Knox,-,-,67,54,-,41,MC,MC,MC,-,MC,MC,58,-,-,41,69,26,MC,-,-,MC,-,MC,61,6500,250/1,Bet 365,Further details,MC
Michael Kim,-,-,MC,MC,44,11,-,-,MC,5,-,45,26,-,-,-,-,-,-,21,MC,MC,-,MC,-,6500,125/1,Bet 365,Further details,46
Tano Goya,-,-,MC,26,53,55,-,-,55,11,-,MC,35,-,-,-,-,-,-,-,-,-,-,-,-,6500,200/1,Bet 365,Further details,46
