Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Sean O'Hair,-,18,37^^,-,61,-,-,27,MC^,-,-,MC^,-,MC,MC,68,-,MC,77,MC,-,11,MC,MC,6200,Further details,500/1,Bet 365,Further details
Scott Piercy,-,59,28^^,52,26,-,-,-,36^,MC^,-,66^,-,3,-,-,14,-,-,MC,-,69,MC,WD,6200,Further details,300/1,Bet 365,Further details
"Blaine Hale, Jr.",-,MC,MC^^,MC,MC,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,2500/1,Bet 365,Further details
Jackson Buchanan,-,-,-,-,-,-,-,-,-,MC,-,39^,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Paul Barjon,-,MC,4^^,MC,54,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6100,Further details,600/1,Bet 365,Further details
Raul Pereda,-,MC,MC^^,MC,MC,-,MC^,MC,60^,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,4000/1,Bet 365,Further details
Scott Gutschewski,-,66,MC^^,MC,MC,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6100,Further details,1500/1,Bet 365,Further details
Austin Cook,-,MC,MC^^,20,MC,-,-,MC,MC^,-,-,-,-,-,-,-,-,-,-,34,67,MC,16,MC,6100,Further details,400/1,Bet 365,Further details
Kevin Chappell,-,MC,MC^^,30,MC,-,-,MC,MC^,-,-,-,-,45,-,52,8,-,-,-,-,-,MC,MC,6100,Further details,500/1,Bet 365,Further details
Kyle Westmoreland,-,14^,-,-,-,15^,-,56^,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,Further details,400/1,Bet 365,Further details
Martin Trainer,-,MC,2^^,MC,61,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,63,MC,6100,Further details,500/1,Bet 365,Further details
Ryan Brehm,-,MC,3^^,MC,MC,-,-,MC,-,-,-,MC,-,-,-,-,-,-,MC,-,-,MC,MC,MC,6100,Further details,750/1,Bet 365,Further details
