Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Hideki Matsuyama,-,-,-,-,-,-,21,48,-,9,-,29,-,-,-,23,4,11,MC,-,9,5,MC,39,8200,40/1,Bet 365,Further details,MC
Tyrrell Hatton,2,-,-,-,-,-,-,-,7,38,-,6,-,-,-,-,-,-,-,-,MC,-,-,-,8100,45/1,Bet 365,Further details,40
Adam Scott,-,28,2,-,-,-,29,20,-,-,-,-,-,17,10,-,-,2,11,53,7,1,38,4,8000,55/1,Bet 365,Further details,65
Justin Rose,29,-,-,-,-,-,-,-,26,18,1,-,-,13,-,45,-,16,4,-,-,56,-,-,8000,45/1,Bet 365,Further details,MC
Rickie Fowler,-,-,-,-,-,-,-,-,54,11,-,10,-,62,-,MC,-,-,-,-,-,-,20,55,7900,75/1,Bet 365,Further details,20
Siwoo Kim,-,-,-,-,-,-,-,1,22,25,-,23,-,-,-,-,-,MC,MC,MC,3,37,MC,73,7900,70/1,Bet 365,Further details,MC
Wyndham Clark,10,-,-,-,-,-,-,-,50,37,-,10,-,-,-,-,-,-,-,-,-,17,8,-,7800,90/1,Bet 365,Further details,33
Sahith Theegala,2,-,-,1^^,-,-,33,-,54,4,-,39,-,-,-,-,-,-,49,-,-,-,-,48,7800,66/1,Bet 365,Further details,6
Keegan Bradley,-,-,-,-,-,-,34,MC,-,2,-,20,-,2,16,20,4,MC,34,MC,51,MC,60,48,7700,75/1,Bet 365,Further details,MC
Seamus Power,5,-,-,-,-,-,25,-,20,-,15,20,-,-,-,-,-,-,-,-,64,-,-,MC,7700,80/1,Bet 365,Further details,14
Corey Conners,11^,-,16,8^^,-,-,18,12,-,-,-,50,-,-,-,-,-,-,-,-,-,MC,MC,MC,7600,110/1,Bet 365,Further details,61
Taylor Montgomery,15,-,-,-,-,-,-,12,5,31,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7600,75/1,Bet 365,Further details,MC
Adam Hadwin,-,-,-,-,-,-,-,-,18,44,-,10,-,-,-,-,22,16,34,6,75,26,26,MC,7500,90/1,Bet 365,Further details,66
Brian Harman,2,-,-,8^^,-,-,16,31,MC,-,-,42,-,-,51,3,MC,72,MC,-,51,47,43,-,7500,110/1,Bet 365,Further details,MC
Keith Mitchell,39,-,-,12^^,-,-,-,MC,22,-,4,42,-,-,-,-,-,-,-,-,MC,-,-,-,7500,90/1,Bet 365,Further details,5
Nick Taylor,-,-,-,-,-,-,-,7,MC,-,20,2,-,-,-,-,MC,26,55,41,33,MC,20,-,7400,100/1,Bet 365,Further details,33
Kyounghoon Lee,-,-,-,8^^,-,-,7,27,MC,-,-,42,-,-,-,-,-,-,-,-,25,13,66,26,7400,100/1,Bet 365,Further details,MC
Russell Henley,-,-,-,-,-,-,30,31,-,-,-,MC,-,-,MC,MC,61,-,-,-,44,17,38,33,7400,100/1,Bet 365,Further details,MC
Shane Lowry,23,-,18,-,-,-,-,-,28,MC,-,MC,-,-,-,-,-,-,WD,MC,-,-,-,-,7400,100/1,Bet 365,Further details,14
Tiger Woods,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,15,68,-,-,7300,140/1,Bet 365,Further details,45
Alexander Noren,2,-,-,-,-,-,-,-,5,-,-,MC,-,-,-,-,-,-,-,16,-,59,12,48,7300,90/1,Bet 365,Further details,MC
Tommy Fleetwood,5,-,20,-,-,-,-,-,38,59,-,MC,-,-,-,-,-,-,-,37,28,-,-,-,7300,90/1,Bet 365,Further details,20
JT Poston,21,-,-,-,-,-,21,20,6,-,-,MC,-,-,-,-,-,-,17,-,28,30,43,MC,7300,125/1,Bet 365,Further details,MC
Tom Hoge,MC,-,-,1^^,-,-,3,41,32,-,48,MC,-,-,-,-,39,-,-,53,MC,-,52,MC,7300,140/1,Bet 365,Further details,14
Taylor Moore,MC,-,-,-,-,-,-,-,MC,11,15,14,-,-,-,-,-,-,-,-,-,-,-,21,7200,125/1,Bet 365,Further details,MC
Beau Hossler,21,-,-,-,-,-,-,-,50,MC,11,14,-,-,-,-,-,-,-,MC,15,-,-,48,7200,125/1,Bet 365,Further details,MC
Billy Horschel,-,-,13,10^^,-,-,30,MC,-,-,-,32,-,-,-,-,-,54,MC,MC,-,-,-,-,7200,90/1,Bet 365,Further details,MC
Lucas Herbert,-,WD,10,-,-,-,-,-,-,3,3^,50,-,-,-,-,-,-,-,-,-,-,-,-,7200,110/1,Bet 365,Further details,58
Denny McCarthy,46,-,-,5^^,-,-,-,31,50,-,4,MC,-,-,-,-,-,-,-,-,MC,37,MC,-,7200,160/1,Bet 365,Further details,14
Kurt Kitayama,42,-,-,-,-,-,-,73,-,MC,29,23,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,MC
Scott Stallings,54,-,-,5^^,-,-,25,-,-,MC,15,23,-,-,-,45,66,MC,-,4,MC,MC,-,MC,7100,150/1,Bet 365,Further details,MC
Matt Kuchar,MC,-,-,3^^,-,-,-,7,-,-,MC,32,-,24,38,MC,-,8,22,26,28,2,MC,67,7100,175/1,Bet 365,Further details,8
Thomas Detry,-,-,-,-,68,-,-,-,26,37,37,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,125/1,Bet 365,Further details,33
Brendan Steele,-,-,-,-,-,-,-,48,32,20,-,MC,-,69,46,10,14,39,39,49,MC,-,43,MC,7100,200/1,Bet 365,Further details,NR
