Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Chandler Phillips,-,-,-,-,-,57,25,76,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,5900,300/1,Bet 365,Further details,WD
Sam Ryder,-,-,-,-,-,-,62,MC,31,MC,MC,-,-,-,-,-,-,-,-,-,53,8,9,-,5900,150/1,Bet 365,Further details,21
Scott Stallings,-,-,-,-,-,42,MC,25,-,MC,-,MC,-,29,-,63,MC,21,29,-,53,MC,-,-,5900,150/1,Bet 365,Further details,MC
Ben Martin,-,-,-,-,-,MC,56,37,-,MC,-,-,-,-,-,31,72,-,33,-,-,-,-,5,5800,150/1,Bet 365,Further details,MC
Garrick Higgo,-,-,-,-,-,80,MC,MC,-,49,-,60,-,-,-,-,-,-,-,-,-,-,66,29,5800,250/1,Bet 365,Further details,16
Zac Blair,-,-,-,-,-,30,62,73,-,49,-,-,-,-,-,22,MC,MC,-,-,MC,-,-,49,5800,300/1,Bet 365,Further details,MC
Carl Yuan,-,-,-,-,-,4,MC,MC,-,WD,-,52,-,-,-,-,-,-,-,-,-,-,-,MC,5800,175/1,Bet 365,Further details,MC
Ryan Palmer,-,-,-,-,-,MC,MC,-,-,-,-,52,-,41,2,25,26,37,MC,4,17,-,70,MC,5800,150/1,Bet 365,Further details,MC
Harry Hall,-,-,-,-,-,42,MC,MC,-,41,-,33,-,-,-,-,-,-,-,-,-,-,-,74,5700,350/1,Bet 365,Further details,MC
Jorge Campillo,-,-,-,-,-,32,56,37,MC,5,-,19,-,-,-,-,-,-,-,-,-,-,-,-,5700,225/1,Bet 365,Further details,53
Nicholas Lindheim,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,150/1,Bet 365,Further details,MC
Nate Lashley,-,-,-,-,-,MC,MC,3,-,MC,-,MC,-,-,-,-,-,-,MC,-,-,36,MC,-,5700,200/1,Bet 365,Further details,MC
Nicolas Echavarria,-,-,-,-,25,66,65,MC,-,MC,-,24,-,-,-,-,-,-,-,-,-,-,-,MC,5700,350/1,Bet 365,Further details,21
Victor Perez,-,-,-,-,-,-,-,MC,-,MC,-,52,-,-,-,-,-,-,-,-,-,-,-,-,5600,200/1,Bet 365,Further details,16
Jacob Bridgeman,-,-,-,-,-,MC,39,70,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5600,200/1,Bet 365,Further details,28
Matthew NeSmith,-,-,-,-,-,80,56,MC,-,71,-,MC,-,-,-,-,-,-,-,-,38,36,25,-,5600,275/1,Bet 365,Further details,MC
Patton Kizzire,-,-,-,-,-,13,MC,-,-,MC,-,MC,-,-,-,-,26,66,MC,MC,68,MC,-,-,5600,175/1,Bet 365,Further details,MC
Ben Kohles,-,-,-,-,-,52,47,MC,-,MC,-,WD,-,41,-,-,-,-,-,-,-,-,MC,-,5600,225/1,Bet 365,Further details,MC
Zach Johnson,-,-,-,-,-,MC,25,-,-,60,-,-,-,-,33,MC,MC,27,-,59,67,8,MC,12,5500,250/1,Bet 365,Further details,21
