Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Austin Smotherman,-,68,-,-,-,9^,-,50,23^^,MC,70,70^,-,-,-,-,-,-,-,-,-,-,63,21,5500,Further details,400/1,Bet 365,Further details
Vincent Norrman,47,-,MC,-,83,45,-,-,39^^,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,48,5500,Further details,300/1,Bet 365,Further details
Carl Yuan,MC,-,MC,5,MC,58,-,MC,MC^^,MC,68,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,300/1,Bet 365,Further details
Jimmy Stanger,35,6,35,MC,-,MC,-,23,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,300/1,Bet 365,Further details
Troy Merritt,47,23,MC,MC,-,MC,-,67,MC^^,9,40,-,-,-,-,-,17,-,-,-,MC,7,57,MC,5400,Further details,275/1,Bet 365,Further details
Peter Malnati,9,-,68,1,36,-,MC,49,19^^,-,66,MC,-,-,-,-,MC,-,-,40,-,MC,MC,29,5400,Further details,275/1,Bet 365,Further details
Chez Reavie,-,-,MC,12,MC,33,-,33,40^^,MC,32,-,-,11,-,-,MC,48,MC,MC,MC,-,27,40,5300,Further details,450/1,Bet 365,Further details
Matthew NeSmith,MC,-,26,MC,MC,MC,-,43,MC^^,MC,54,-,-,-,-,-,-,-,-,-,49,MC,57,48,5300,Further details,400/1,Bet 365,Further details
Chandler Phillips,WD,MC,-,3,45,MC,-,55,19^^,MC,50,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,300/1,Bet 365,Further details
Rafael Campos,-,18,-,MC,MC,MC,-,14,38^^,9,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,Further details,350/1,Bet 365,Further details
Paul Haley II,-,58,-,-,-,-,-,MC,MC^^,-,-,78^,-,-,-,-,-,-,-,-,-,-,-,5,5300,Further details,750/1,Bet 365,Further details
Zac Blair,MC,-,54,MC,MC,MC,-,-,4^^,MC,-,53,-,-,-,62,MC,MC,-,-,55,-,-,MC,5200,Further details,500/1,Bet 365,Further details
Brandon Wu,MC,42,MC,-,MC,MC,-,59,28^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,5200,Further details,400/1,Bet 365,Further details
Hayden Springer,-,3,-,72,MC,58,-,MC,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,Further details,400/1,Bet 365,Further details
Callum Tarren,MC,-,MC,72,69,MC,-,23,11^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5200,Further details,500/1,Bet 365,Further details
Pierceson Coody,MC,32,-,WD,57,74,-,18,MC^^,MC,54,-,-,-,-,-,-,-,-,-,-,-,-,MC,5200,Further details,500/1,Bet 365,Further details
Ryan Palmer,MC,-,-,54,74,MC,-,55,19^^,MC,-,-,-,14,5,MC,3,70,MC,6,MC,32,40,MC,5200,Further details,350/1,Bet 365,Further details
David Lipsky,41,-,42,MC,MC,58,-,MC,23^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,48,16,5100,Further details,600/1,Bet 365,Further details
Erik Barnes,-,2,-,WD,17,MC,-,58,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,500/1,Bet 365,Further details
Martin Trainer,5^,MC,5^,-,MC,MC^,-,MC,2^^,MC,61,-,-,-,-,-,-,-,-,-,-,-,52,-,5100,Further details,600/1,Bet 365,Further details
Wesley Bryan,-,MC,-,-,-,-,-,2,-,MC,MC,-,-,-,-,-,-,48,71,-,-,-,-,-,5100,Further details,500/1,Bet 365,Further details
Hayden Buckley,MC,-,MC,61,MC,MC,-,MC,MC^^,52,59,-,-,-,-,-,-,-,-,-,-,-,MC,MC,5100,Further details,750/1,Bet 365,Further details
Tyson Alexander,16,-,MC,MC,64,14,-,55,MC^^,52,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5100,Further details,500/1,Bet 365,Further details
Camilo Villegas,67,MC,MC,WD,-,MC,35,-,-,MC,-,MC,-,26,88,-,MC,WD,-,-,-,69,MC,-,5100,Further details,600/1,Bet 365,Further details
