Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024,2025 Odds,Bookmaker,New Account Offer
David Lipsky,-,-,-,-,-,-,45,MC,WD,-,MC,-,,-,-,-,-,-,-,-,-,6,60,MC,250/1,Bet 365,Further details
David Skinns,MC,-,-,-,-,-,MC,MC,MC,-,49,-,-,-,-,-,-,-,-,-,-,51,-,MC,450/1,Bet 365,Further details
Davis Riley,MC,-,-,-,-,WD,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,5,-,MC,400/1,Bet 365,Further details
Francesco Molinari,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,24,MC,300/1,Bet 365,Further details
Jacob Bridgeman,MC,-,-,-,-,-,MC,21,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,66/1,Bet 365,Further details
Joe Highsmith,11,-,-,-,-,-,MC,66,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,80/1,Bet 365,Further details
Jose Antonio Safa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,MC,2500/1,Bet 365,Further details
KyoungHoon Lee,MC,-,-,-,-,-,MC,MC,9,-,67,-,-,-,-,-,-,-,-,-,-,-,-,MC,110/1,Bet 365,Further details
Matthias Schmid,-,-,-,59,-,-,MC,MC,25,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,80/1,Bet 365,Further details
McClure Meissner,-,-,-,-,-,-,21,68,52,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,55/1,Bet 365,Further details
Nate Lashley,MC,-,-,-,-,-,37,MC,WD,-,MC,-,-,-,-,-,MC,4,-,-,-,11,39,MC,150/1,Bet 365,Further details
Norman Xiong,MC,-,MC^,-,-,-,-,MC,40,MC^,65^,-,-,-,-,-,-,-,-,-,-,-,-,MC,450/1,Bet 365,Further details
Patrick Fishburn,8,-,-,-,-,-,6,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,50/1,Bet 365,Further details
Patton Kizzire,66,-,-,-,-,40,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,150/1,Bet 365,Further details
Rico Hoey,-,-,-,-,-,-,59,58,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,80/1,Bet 365,Further details
Ryan Fox,-,-,-,-,-,-,-,10,27,-,63,-,-,-,-,-,-,-,-,-,-,-,-,MC,55/1,Bet 365,Further details
Scott Piercy,-,-,-,-,-,-,MC^,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,33,39,MC,350/1,Bet 365,Further details
Seonghyeon Kim,42,-,-,-,-,-,2^,-,MC,27^,39^,-,-,-,-,-,-,-,-,-,-,-,24,MC,TBC,Bet 365,Further details
Vincent Norrman,-,-,-,-,-,-,37,29,40,-,71,-,-,-,-,-,-,-,-,-,-,-,18,MC,80/1,Bet 365,Further details
Vincent Whaley,8,-,-,-,-,-,72,64,32,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,MC,80/1,Bet 365,Further details
Ben Kohles,MC,-,-,-,-,-,53,21,-,-,MC,-,-,-,-,-,-,-,-,-,-,42,-,WD,125/1,Bet 365,Further details
Christopher Gotterup,-,-,-,-,-,46,MC,MC,25,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,WD,70/1,Bet 365,Further details
Pierceson Coody,MC,-,-,-,-,-,7^,-,MC,9^,2^,-,-,-,-,-,-,-,-,-,-,-,-,WD,TBC,Bet 365,Further details
Rasmus Hojgaard,-,-,-,-,-,-,-,14,-,22,12,MC,-,-,-,-,-,-,-,-,-,-,-,-,18/1,Bet 365,Further details
