Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Austin Eckroat,-,-,-,-,-,-,42,25,37,-,MC,-,-,-,-,-,-,-,-,-,-,-,49,8000,60/1,Bet 365,Further details,38
Seonghyeon Kim,-,-,-,-,-,-,30,MC,50,31,28,-,-,-,-,-,-,-,-,-,-,-,24,7900,60/1,Bet 365,Further details,MC
Alejandro Tosti,-,-,-,-,-,-,70,MC,43,-,-,-,-,-,-,-,-,-,-,-,9,-,10,7800,60/1,Bet 365,Further details,MC
Nate Lashley,-,-,-,-,-,-,MC,MC,3,-,MC,-,-,-,-,-,MC,4,-,-,-,11,39,7700,60/1,Bet 365,Further details,MC
Chesson Hadley,-,-,-,-,-,-,-,56,25,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7700,60/1,Bet 365,Further details,24
Vincent Norrman,-,-,-,-,-,59,MC,-,56,-,MC,-,-,-,-,-,-,-,-,-,-,-,18,7600,66/1,Bet 365,Further details,MC
Jhonattan Vegas,MC,17,-,-,-,-,MC,MC,MC,-,22,-,-,-,-,-,-,-,-,-,-,-,-,7600,66/1,Bet 365,Further details,60
KyoungHoon Lee,-,-,-,-,-,-,30,25,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7500,70/1,Bet 365,Further details,MC
Alex Smalley,-,-,-,-,-,-,MC,21,MC,75,-,MC,-,-,-,-,-,-,-,-,-,6,MC,7500,70/1,Bet 365,Further details,MC
Carson Young,-,-,-,-,-,-,MC,17,56,-,41,-,-,-,-,-,-,-,-,-,-,-,15,7400,90/1,Bet 365,Further details,8
Matt Wallace,-,-,-,-,-,40,52,MC,MC,-,53,-,-,-,-,-,-,-,-,-,-,67,MC,7400,70/1,Bet 365,Further details,33
Alexander Bjork,-,-,-,-,-,-,MC,11,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,80/1,Bet 365,Further details,MC
Scott Stallings,-,-,-,-,-,-,42,MC,25,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,7300,90/1,Bet 365,Further details,MC
Greyson Sigg,-,-,-,-,-,-,66,17,MC,-,MC,-,-,-,-,-,-,-,-,-,-,33,18,7200,80/1,Bet 365,Further details,19
J.J Spaun,-,-,-,-,-,-,MC,-,MC,54,MC,MC,-,-,-,-,-,-,-,-,-,-,-,7200,90/1,Bet 365,Further details,MC
Christopher Gotterup,-,-,-,-,-,-,-,MC,50,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7100,80/1,Bet 365,Further details,WD
Samuel Stevens,-,-,-,-,-,-,24,65,43,-,28,-,-,-,-,-,-,-,-,27,9,-,-,7100,90/1,Bet 365,Further details,MC
Andrew Novak,-,-,-,-,-,-,MC,MC,MC,-,8,-,-,-,-,-,-,-,-,-,-,15,49,7000,100/1,Bet 365,Further details,8
Robert MacIntyre,33,MC,-,-,-,-,52,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,125/1,Bet 365,Further details,6
Dylan Wu,-,-,-,-,-,-,42,MC,50,-,MC,-,-,-,-,-,-,-,-,-,-,MC,15,6900,125/1,Bet 365,Further details,24
Tyler Duncan,-,-,-,-,-,-,65,34,MC,-,53,-,-,-,-,-,-,-,-,-,-,MC,-,6900,110/1,Bet 365,Further details,MC
Harry Hall,-,-,-,-,-,-,42,MC,MC,-,41,-,-,-,-,-,-,-,-,-,-,-,10,6800,100/1,Bet 365,Further details,33
Joseph Bramlett,-,-,-,-,-,-,52,MC,25,-,MC,-,-,29,-,-,-,-,-,-,-,MC,10,6800,100/1,Bet 365,Further details,38
Patton Kizzire,-,-,-,-,-,-,13,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6800,110/1,Bet 365,Further details,MC
Sami Valimaki,-,-,-,-,-,-,MC,MC,43,-,41,-,-,-,-,-,-,-,-,-,-,-,-,6700,100/1,Bet 365,Further details,2
Victor Perez,-,-,-,-,-,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6700,110/1,Bet 365,Further details,52
Garrick Higgo,-,-,-,-,-,-,80,MC,MC,-,49,-,-,-,-,-,-,-,-,-,-,-,MC,6700,110/1,Bet 365,Further details,60
Aaron Baddeley,-,21,-,-,-,-,-,MC,37,-,28,-,-,-,-,-,-,-,-,-,-,MC,39,6600,110/1,Bet 365,Further details,24
Jacob Bridgeman,-,-,-,-,-,-,MC,39,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,110/1,Bet 365,Further details,MC
Joe Highsmith,-,-,-,-,-,-,MC,34,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,110/1,Bet 365,Further details,MC
Chan Kim,-,-,-,-,-,-,MC,14,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,100/1,Bet 365,Further details,8
Davis Riley,-,-,-,-,-,52,MC,MC,MC,78,-,-,-,-,-,-,-,-,-,-,-,5,-,6500,125/1,Bet 365,Further details,MC
Parker Coody,-,-,-,-,-,-,74,MC,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,110/1,Bet 365,Further details,24
Vincent Whaley,-,-,-,-,-,-,MC,34,MC,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6500,125/1,Bet 365,Further details,MC
Ben Kohles,-,-,-,-,-,-,52,47,MC,-,MC,-,-,-,-,-,-,-,-,-,-,42,-,6400,125/1,Bet 365,Further details,WD
