Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Stewart Cink,-,9^,27,-,-,-,MC,52,62,MC,46,-,-,MC,-,MC,14,-,-,MC,MC,-,27,MC,6300,Further details,400/1,Bet 365,Further details
Henrik Norlander,-,-,MC,MC,-,23,MC,61,25,11,12,-,-,16,-,-,MC,-,-,-,59,-,47,MC,6300,Further details,TBC,Bet 365,Further details
Nicolas Echavarria,-,MC,MC,-,54,-,63,52,MC,-,-,35,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,350/1,Bet 365,Further details
Adrien Dumont de Chassart,-,MC,51,-,-,-,MC,46,MC,-,MC,40,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,TBC,Bet 365,Further details
Chez Reavie,-,MC,65,-,-,-,MC,MC,10,44,MC,-,-,MC,-,MC,MC,37,-,48,MC,MC,47,27,6200,Further details,300/1,Bet 365,Further details
David Lipsky,-,9,MC,-,-,-,WD,61,37,MC,MC,-,-,-,-,-,-,-,-,-,-,-,27,45,6200,Further details,350/1,Bet 365,Further details
Wesley Bryan,-,MC,MC,-,-,-,67,MC,MC,MC,67,-,-,-,-,-,MC,-,MC,-,31,-,MC,70,6200,Further details,750/1,Bet 365,Further details
Kevin Dougherty,-,-,MC,-,-,-,MC,46,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,350/1,Bet 365,Further details
Parker Coody,-,61,MC,-,-,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,450/1,Bet 365,Further details
Roger Sloan,-,-,MC,-,-,-,31,61,53,MC,MC,-,-,-,-,MC,-,-,-,39,31,2,MC,-,6200,Further details,300/1,Bet 365,Further details
Benjamin Taylor,-,MC,MC,-,-,-,MC,46,6,50,MC,-,-,-,-,-,-,-,-,-,MC,24,-,MC,6200,Further details,500/1,Bet 365,Further details
Martin Trainer,-,MC,MC,-,-,-,MC,MC,MC,MC,MC,-,-,-,-,-,-,-,-,MC,MC,MC,68,-,6200,Further details,TBC,Bet 365,Further details
