Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Sam Ryder,-,-,-,-,MC,MC,4,-,20,20,-,MC,-,-,-,-,-,-,-,-,MC,MC,60,6300,275/1,Bet 365,Further details,44
Justin Lower,-,-,-,-,-,41,MC,MC,50,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,6300,600/1,Bet 365,Further details,MC
Nate Lashley,-,-,-,-,7,MC,-,WD,61,20,-,3,-,-,-,-,-,-,-,-,-,71,-,6200,300/1,Bet 365,Further details,60
Scott Piercy,-,-,-,-,MC,41,31,MC,WD,50,-,21,-,MC,MC,-,MC,23,MC,MC,56,69,MC,6200,450/1,Bet 365,Further details,MC
David Lingmerth,-,-,-,-,MC,MC,MC,58,-,-,10,70,-,-,2,MC,-,MC,72,MC,-,-,-,6200,500/1,Bet 365,Further details,6
Dylan Frittelli,13,-,-,-,-,MC,37,WD,14,MC,29,-,-,-,-,-,-,-,-,-,-,22,50,6200,350/1,Bet 365,Further details,MC
Michael Thompson,-,-,-,-,31,MC,37,-,MC,45,-,-,-,51,55,MC,MC,-,-,MC,70,48,60,6200,600/1,Bet 365,Further details,MC
James Hahn,-,-,-,-,-,MC,MC,MC,32,MC,-,-,-,-,62,MC,30,43,MC,MC,-,41,MC,6200,600/1,Bet 365,Further details,MC
Eric Cole,-,-,-,-,61,36,MC,15,-,-,2,MC,-,-,-,-,-,-,-,-,-,-,-,6200,300/1,Bet 365,Further details,27
Joseph Bramlett,-,-,-,-,54,54,13,7,-,-,55,MC,-,-,-,-,-,-,-,-,-,-,MC,6200,300/1,Bet 365,Further details,MC
Stewart Cink,-,-,-,-,20,41,-,-,65,MC,-,MC,-,64,MC,38,MC,-,-,MC,MC,MC,MC,6200,500/1,Bet 365,Further details,MC
Doug Ghim,-,-,-,-,-,MC,MC,WD,MC,62,-,-,-,-,-,-,-,-,-,-,-,29,6,6100,250/1,Bet 365,Further details,MC
Doc Redman,-,-,-,-,31,-,MC,41,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,26,6100,1000/1,Bet 365,Further details,MC
